0.0	316.84246931796423
0.9619525236422922	317.376173582604
1.9239050472845844	317.9098778472438
2.885857570926877	318.44358211188364
3.847810094569169	318.9772863765234
4.809537697358615	319.01853103713154
5.771265300148062	319.05977569773967
6.732992902937507	319.1010203583478
7.694720505726953	319.1422650189559
8.656062224180369	318.7406415563254
9.617403942633787	318.3390180936949
10.578745661087204	317.93739463106436
11.540087379540621	317.5357711684338
12.501429097994038	316.996383625372
13.462770816447454	316.4569960823102
14.424112534900868	315.91760853924836
15.385454253354284	315.37822099618654
16.346410087471675	315.13381323969315
17.30736592158906	314.88940548319977
18.26832175570645	314.6449977267063
19.229277589823838	314.40058997021293
20.18910735321523	314.1754029156309
21.14893711660663	313.95021586104883
22.108766879998022	313.72502880646675
23.06859664338942	313.4998417518847
24.02906099801548	313.5241717852223
24.989525352641543	313.5485018185599
25.949989707267605	313.5728318518975
26.910454061893667	313.5971618852351
27.87091841651973	313.6696113791735
28.831382771145794	313.7420608731118
29.79184712577186	313.81451036705016
30.75231148039792	313.88695986098855
31.713455231952278	314.1084801432248
32.67459898350663	314.3300004254611
33.63574273506098	314.5515207076974
34.59688648661534	314.7730409899337
35.55864790847352	315.22130450839273
36.52040933033169	315.6695680268517
37.48217075218986	316.11783154531076
38.44393217404804	316.56609506376975
39.40498489203398	316.92663645101
40.366037610019916	317.2871778382503
41.32709032800585	317.6477192254905
42.288143045991795	318.00826061273074
43.24919576397773	318.2670470317352
44.210248481963674	318.5258334507397
45.17130119994961	318.7846198697441
46.132353917935546	319.0434062887486
47.09204358429198	319.3796110726046
48.051733250648404	319.71581585646055
49.01142291700482	320.0520206403165
49.971112583361254	320.3882254241725
50.93078425657877	321.28756184378165
51.89045592979628	322.18689826339084
52.8501276030138	323.08623468300004
53.80979927623132	323.98557110260924
54.76945440687597	324.58104558308435
55.729109537520635	325.1765200635595
56.68876466816529	325.77199454403467
57.648419798809954	326.3674690245098
58.60793791510604	327.6552431869858
59.56745603140215	328.9430173494618
60.52697414769824	330.23079151193787
61.486492263994336	331.5185656744139
62.44599512407861	332.3498370413165
63.40549798416287	333.18110840821913
64.36500084424713	334.01237977512176
65.3245037043314	334.8436511420244
66.2842341268368	335.64710106518675
67.24396454934218	336.4505509883491
68.20369497184758	337.25400091151147
69.16342539435297	338.05745083467383
70.12315581685836	339.1983113687957
71.08288623936373	340.33917190291754
72.04261666186912	341.4800324370394
73.00234708437452	342.62089297116125
73.96269627063229	343.51500555032834
74.92304545689007	344.4091181294955
75.88339464314784	345.30323070866257
76.84374382940561	346.1973432878297
77.80409301566338	346.90500827866185
78.76444220192114	347.61267326949405
79.72479138817891	348.3203382603262
80.68514057443669	349.02800325115834
81.64591697420693	350.24296314090475
82.60669337397718	351.45792303065116
83.56746977374743	352.67288292039757
84.52824617351767	353.887842810144
85.49036443658845	355.143121033072
86.45248269965921	356.39839925599995
87.41460096272998	357.65367747892793
88.37671922580074	358.9089557018559
89.33883748887152	359.8783370521481
90.3009557519423	360.8477184024403
91.26307401501309	361.8170997527325
92.22519227808385	362.7864811030247
93.18776645856425	363.9730904886311
94.15034063904466	365.15969987423745
95.11291481952506	366.3463092598438
96.07548900000546	367.5329186454502
97.03663834509645	368.59263232446216
97.99778769018742	369.65234600347407
98.9589370352784	370.71205968248603
99.92008638036938	371.77177336149794
100.88103656981592	372.73955481457153
101.84198675926245	373.7073362676452
102.80293694870899	374.67511772071884
103.76388713815552	375.64289917379244
104.72483732760207	376.40343046991427
105.68578751704862	377.1639617660361
106.64673770649519	377.9244930621579
107.60768789594174	378.68502435827975
108.56873623406798	379.3692444124602
