index,name,value
1,gamma_C,1.5020607180516758
2,k_scale,1.280359273899652
3,k_ins_scale,0.856157862528226
4,A_Nu,2.3627644773978425
5,h_floor,0.25060203906377376
6,L_h,0.050023897597148974
7,tau_T3,20.0
8,f_I_high,1.6131426725869766
9,f_I_mid,1.7808690487754886
10,f_I_low,1.184903604749954
# fixed,B_Re,1.0
# fixed,C_Pr,0.5
# fixed,eta_abs,0.8
# fixed,beta_opt,50.0
# fixed,front_dep,0.5
# fixed,h_front,10.0
# fixed,eps_front,0.95
# fixed,cavity_outer_radius_m,0.075
# fixed,insulation_outer_radius_m,0.056999999999999995
# fixed,G_receiver_to_cavity_W_per_m_K,0.6016297709756657
# fixed,G_receiver_to_tube_W_per_K,0.2128
# fixed,adaptor_diameter_m,0.0776
# fixed,rear_tube_length_m,0.15
# fixed,rear_tube_cavity_length_m,0.046
# fixed,rear_tube_flange_length_m,0.104
# fixed,T3_sample_position_m,0.14
# fixed,rear_tube_wall_thickness_m,0.0015
# fixed,cavity_heat_capacity_J_per_K,4025.7299551151973
# fixed,water_flange_temperature_K,298.15
