ID,phase,q,x,lam,lam_sd,n
E67,heat,15.280850127226461,0.2382397188495703,0.0013357826493693426,0.00016278669447920027,3
E68,heat,12.500601342532166,0.18583310358809965,0.0009890373600291808,7.53237592441611e-05,3
E69,heat,10.499157345264727,0.1503820674838446,0.000956821853570832,5.857842337167134e-05,3
E70,heat,9.102449798597643,0.12713393658643876,0.0007790561511355978,3.212860178452056e-05,3
E71,heat,7.123137191249119,0.09548290008464096,0.000685439704254161,1.632928016096201e-05,3
E72,heat,18.708308242612752,0.3057088173507828,0.0013851633976188719,0.0001490012476228634,3
E73,heat,13.171534003936147,0.1965999537538304,0.0010883279142727975,7.801066842136026e-05,3
E74,heat,9.022822639627659,0.12477514234332489,0.0008353598650250068,4.109908833048912e-05,3
E75,heat,6.9446948992443325,0.09209037572463295,0.0007181246441634861,1.969987199892788e-05,3
E76,heat,4.526342757172848,0.056969236617792705,0.0006176541125828893,8.275414390286552e-06,3
E77,heat,13.846924720578567,0.20641198093070678,0.0013445048345962479,5.933807993654534e-05,3
E78,heat,10.008698439241918,0.13947323182873583,0.0007985206517889002,1.9332786845879228e-05,3
E79,heat,8.033646912636208,0.1078226292346077,0.0008292801286447561,2.218765663970847e-05,3
E80,heat,6.6049788368891935,0.08617950987963331,0.0007277836323374155,1.1361262086092647e-05,3
E81,heat,4.52618523467513,0.05654434612311417,0.0006839079953746934,6.348998759508413e-06,3
C69,cool,10.513307165861514,0.14730960576196467,0.0007987930357605286,3.0137747341395375e-05,6
C80,cool,6.603099375509095,0.08547291169877966,0.0006380186437688473,1.7423389130942085e-05,6
C81,cool,4.52712568212824,0.05609778382288204,0.0004835946298510329,2.3244762015396688e-05,6
